date,temp_max,temp_min,temp_mean,precipitation
2023-01-01,1.7,-5.9,-2.5,0.0
2023-01-02,-2.0,-8.6,-6.0,0.0
2023-01-03,-1.5,-9.2,-6.3,0.0
2023-01-04,1.6,-7.2,-4.2,0.0
2023-01-05,3.2,-7.3,-3.3,0.0
2023-01-06,4.7,-5.9,-1.5,4.2
2023-01-07,3.9,-4.9,0.1,0.5
2023-01-08,5.2,-6.5,-1.1,0.0
2023-01-09,5.0,-4.6,1.0,0.0
2023-01-10,6.2,-6.4,-1.4,0.0
2023-01-11,6.4,-5.4,-0.6,0.0
2023-01-12,11.1,-3.2,1.7,0.0
2023-01-13,9.9,3.1,6.1,18.0
2023-01-14,6.9,1.5,4.3,4.6
2023-01-15,1.9,-4.6,-0.7,5.0
2023-01-16,-3.1,-9.4,-6.2,0.0
2023-01-17,-1.6,-8.8,-5.3,0.0
2023-01-18,1.0,-7.3,-4.3,0.0
2023-01-19,3.6,-8.0,-2.5,1.3
2023-01-20,1.5,-10.1,-4.4,0.4
2023-01-21,-1.5,-12.1,-7.3,0.0
2023-01-22,2.6,-6.3,-2.6,0.6
2023-01-23,4.1,-8.1,-2.0,0.0
2023-01-24,-8.9,-18.4,-14.9,0.0
2023-01-25,-8.1,-18.5,-13.3,0.0
2023-01-26,-2.0,-10.3,-6.0,1.1
2023-01-27,-5.1,-15.8,-10.1,0.0
2023-01-28,-2.5,-12.1,-7.9,0.0
2023-01-29,4.0,-9.6,-4.1,0.4
2023-01-30,2.4,-6.5,-3.2,0.0
2023-01-31,7.4,-5.7,-0.0,0.2
2023-02-01,3.5,-4.8,-0.3,0.0
2023-02-02,0.5,-6.1,-3.6,0.0
2023-02-03,1.8,-5.0,-3.1,0.0
2023-02-04,4.1,-7.0,-2.8,0.0
2023-02-05,6.1,-6.1,-0.6,0.0
2023-02-06,7.0,-4.7,-0.2,0.0
2023-02-07,7.8,-3.1,0.8,0.0
2023-02-08,6.7,-4.7,-0.2,0.0
2023-02-09,9.3,-5.2,1.5,0.2
2023-02-10,6.4,-2.8,2.3,1.8
2023-02-11,5.1,-4.8,-0.6,0.0
2023-02-12,8.3,-3.8,1.7,0.0
2023-02-13,8.1,0.7,4.2,0.5
2023-02-14,6.2,-4.8,0.3,0.0
2023-02-15,6.5,-3.4,0.7,0.0
2023-02-16,4.0,-3.1,0.8,0.1
2023-02-17,7.3,-4.4,0.8,0.0
2023-02-18,8.0,-1.3,3.3,0.0
